Song Title	Artist	Album	Genre	Duration (seconds)	Release Year
Golden Sky	Broken Echo	Wave Voices	Jazz	198	1995
Happy Whisper	Falling Wave	Echo Vibes	Hip Hop	351	2003
Lonely Sky	Lonely Shadow	Wave Vibes	Pop	150	1991
Red Sky	Lonely Moon	Flame Voices	Classical	210	1993
Mystic Star	Mystic Heart	Echo Colors	Pop	154	2009
Windy Whisper	Falling Heart	Echo Nights	Country	174	2011
Windy Sky	Happy Moon	Sky Voices	Hip Hop	201	1998
Red Whisper	Mystic Star	Echo Lights	Classical	283	1984
Happy Shadow	Golden Wave	Dream Voices	Jazz	191	2008
Happy Moon	Falling Sky	Moon Sounds	Country	229	1981
Golden Echo	Silent Heart	Sky Days	Rock	179	2003
Mystic Echo	Falling Dream	Star Vibes	Pop	232	1996
Silent Star	Falling Whisper	Echo Vibes	Country	285	2021
Happy Whisper	Happy Shadow	Wave Lights	Classical	188	2006
Golden Moon	Silent Whisper	Flame Colors	Pop	301	1982
Lonely Dream	Broken Shadow	Heart Nights	Country	133	1997
Eternal Dream	Broken Moon	Whisper Voices	Rock	221	2000
Lonely Shadow	Lonely Echo	Echo Sounds	Rock	139	2018
Broken Sky	Windy Sky	Heart Voices	Electronic	227	1980
Golden Star	Golden Heart	Whisper Vibes	Jazz	128	1986
Happy Sky	Golden Wave	Star Lights	Classical	216	2002
Windy Echo	Windy Shadow	Sky Days	Electronic	329	1995
Mystic Dream	Silent Wave	Heart Days	Jazz	317	1990
Mystic Wave	Golden Whisper	Sky Vibes	Rock	244	2014
Golden Wave	Happy Wave	Shadow Colors	Country	220	2020
Mystic Moon	Falling Shadow	Moon Voices	Classical	249	2018
Golden Echo	Mystic Whisper	Flame Days	Hip Hop	277	2001
Happy Wave	Eternal Shadow	Whisper Vibes	Pop	253	2014
Happy Dream	Broken Wave	Heart Days	Rock	328	2012
Falling Moon	Broken Whisper	Moon Lights	Rock	350	2022
Windy Flame	Windy Echo	Wave Voices	Classical	288	2015
Windy Dream	Silent Heart	Shadow Days	Classical	270	2021
Falling Star	Falling Wave	Heart Voices	Country	150	2019
Eternal Moon	Golden Whisper	Dream Sounds	Classical	139	2007
Broken Dream	Golden Wave	Wave Sounds	Hip Hop	124	1990
Eternal Whisper	Mystic Wave	Echo Colors	Rock	268	1984
Broken Whisper	Eternal Moon	Wave Vibes	Rock	226	1997
Falling Whisper	Golden Star	Flame Voices	Country	194	1983
Happy Sky	Lonely Heart	Dream Days	Classical	243	2017
Lonely Heart	Windy Sky	Sky Sounds	Rock	315	2010
Happy Heart	Red Heart	Echo Days	Jazz	334	2003
Falling Dream	Silent Dream	Moon Lights	Jazz	180	2009
Falling Whisper	Lonely Shadow	Shadow Nights	Hip Hop	349	2018
Mystic Heart	Falling Heart	Moon Colors	Jazz	213	2010
Falling Moon	Windy Wave	Flame Voices	Jazz	289	1991
Red Wave	Falling Dream	Sky Colors	Rock	160	1982
Happy Flame	Broken Star	Dream Days	Pop	308	2009
Happy Wave	Eternal Star	Dream Days	Jazz	329	1987
Mystic Echo	Silent Echo	Whisper Colors	Hip Hop	299	1989
Silent Star	Falling Sky	Flame Nights	Jazz	160	2003
Red Whisper	Golden Whisper	Sky Nights	Rock	179	1980
Windy Star	Golden Flame	Sky Lights	Classical	354	1997
Falling Heart	Mystic Flame	Sky Vibes	Electronic	342	2020
Lonely Whisper	Red Whisper	Whisper Days	Rock	149	2001
Eternal Shadow	Broken Flame	Dream Vibes	Classical	345	2010
Eternal Wave	Mystic Star	Echo Colors	Country	214	2006
Broken Flame	Silent Sky	Heart Days	Hip Hop	358	1995
Lonely Shadow	Eternal Dream	Flame Voices	Jazz	285	1997
Red Wave	Golden Whisper	Sky Colors	Country	246	1990
Broken Star	Red Wave	Whisper Sounds	Jazz	336	1997
Eternal Wave	Red Whisper	Sky Nights	Electronic	136	1983
Falling Moon	Mystic Moon	Sky Nights	Classical	219	2019
Windy Moon	Windy Moon	Whisper Days	Pop	287	1989
Silent Whisper	Golden Sky	Wave Lights	Electronic	277	2009
Broken Wave	Windy Shadow	Flame Sounds	Rock	185	1983
Lonely Whisper	Eternal Flame	Flame Colors	Rock	143	1987
Eternal Echo	Falling Star	Echo Voices	Country	320	1996
Silent Wave	Golden Dream	Moon Lights	Country	248	2014
Falling Shadow	Happy Wave	Whisper Nights	Rock	207	1984
Red Shadow	Eternal Echo	Moon Sounds	Hip Hop	157	2006
Silent Moon	Silent Star	Flame Vibes	Rock	231	2016
Golden Wave	Golden Whisper	Echo Sounds	Rock	311	1986
Windy Whisper	Windy Heart	Whisper Sounds	Jazz	274	2012
Mystic Wave	Happy Echo	Wave Sounds	Electronic	337	1997
Windy Dream	Silent Moon	Echo Nights	Hip Hop	209	2017
Red Echo	Windy Moon	Echo Colors	Jazz	254	2007
Silent Echo	Mystic Whisper	Whisper Sounds	Pop	336	1994
Golden Moon	Happy Whisper	Star Days	Hip Hop	327	2002
Mystic Moon	Golden Whisper	Heart Colors	Jazz	221	2011
Windy Whisper	Broken Star	Heart Days	Rock	161	1988
Lonely Echo	Silent Moon	Heart Lights	Jazz	265	2009
Eternal Dream	Silent Sky	Heart Vibes	Country	328	2008
Red Heart	Golden Star	Flame Sounds	Hip Hop	232	2011
Eternal Echo	Happy Star	Star Voices	Classical	163	2014
Mystic Echo	Eternal Echo	Star Days	Rock	230	1997
Windy Wave	Mystic Shadow	Wave Colors	Electronic	317	2008
Red Dream	Falling Moon	Wave Nights	Jazz	238	1996
Red Shadow	Broken Whisper	Dream Vibes	Rock	267	1988
Happy Whisper	Silent Sky	Moon Voices	Hip Hop	359	1987
Red Moon	Red Moon	Wave Days	Classical	142	1992
Mystic Heart	Silent Dream	Star Voices	Country	229	2012
Broken Shadow	Silent Wave	Dream Vibes	Country	259	2000
Broken Echo	Falling Heart	Wave Voices	Hip Hop	131	2023
Mystic Dream	Golden Echo	Whisper Nights	Hip Hop	281	1991
Broken Flame	Golden Moon	Heart Nights	Jazz	255	2009
Mystic Shadow	Golden Flame	Sky Days	Rock	239	2020
Silent Echo	Red Moon	Heart Nights	Electronic	146	1980
Lonely Sky	Eternal Sky	Dream Days	Classical	168	2000
Windy Star	Golden Flame	Heart Lights	Hip Hop	319	2008
Happy Shadow	Happy Shadow	Shadow Vibes	Hip Hop	359	1993
Golden Flame	Falling Sky	Heart Days	Pop	302	2017
Silent Shadow	Happy Sky	Moon Sounds	Country	216	2019
Happy Dream	Windy Flame	Dream Days	Pop	220	1984
Happy Sky	Golden Sky	Whisper Colors	Classical	202	1992
Red Wave	Mystic Echo	Flame Lights	Electronic	207	2017
Lonely Wave	Golden Dream	Whisper Nights	Hip Hop	269	1984
Red Moon	Broken Moon	Echo Voices	Classical	122	2021
Mystic Moon	Falling Flame	Shadow Lights	Jazz	128	2016
Red Dream	Lonely Star	Star Days	Country	130	1996
Lonely Wave	Lonely Moon	Moon Nights	Pop	125	1998
Broken Heart	Golden Dream	Heart Sounds	Country	158	2017
Silent Dream	Broken Sky	Flame Vibes	Pop	286	2010
Lonely Heart	Broken Whisper	Wave Days	Classical	220	2015
Mystic Flame	Golden Wave	Sky Colors	Hip Hop	313	1980
Red Sky	Red Heart	Flame Lights	Rock	237	1989
Falling Moon	Mystic Whisper	Heart Voices	Rock	179	2013
Lonely Sky	Red Moon	Flame Voices	Jazz	284	1992
Falling Shadow	Mystic Flame	Flame Voices	Electronic	253	1986
Silent Dream	Golden Moon	Moon Lights	Country	125	2016
Mystic Dream	Windy Heart	Sky Vibes	Electronic	158	2015
Eternal Moon	Lonely Shadow	Wave Lights	Pop	283	2018
Happy Flame	Silent Shadow	Heart Colors	Hip Hop	208	2016
Mystic Whisper	Lonely Sky	Echo Vibes	Jazz	297	2010
Red Heart	Lonely Whisper	Whisper Nights	Rock	327	1999
Red Whisper	Golden Echo	Echo Vibes	Rock	204	2018
Silent Moon	Silent Dream	Wave Lights	Jazz	234	2015
Silent Sky	Windy Flame	Sky Sounds	Classical	129	1994
Red Sky	Windy Wave	Heart Lights	Country	252	2009
Silent Moon	Red Flame	Whisper Vibes	Electronic	297	1997
Broken Shadow	Mystic Echo	Moon Days	Pop	144	1983
Mystic Sky	Happy Moon	Flame Colors	Electronic	214	2009
Broken Heart	Mystic Heart	Echo Lights	Rock	250	2007
Falling Wave	Broken Echo	Moon Voices	Jazz	203	1983
Mystic Moon	Broken Whisper	Sky Nights	Rock	251	2013
Windy Wave	Falling Sky	Flame Voices	Hip Hop	197	2007
Silent Shadow	Falling Shadow	Flame Vibes	Rock	131	2016
Mystic Heart	Golden Heart	Echo Sounds	Pop	261	2001
Falling Flame	Broken Shadow	Flame Colors	Country	348	2019
Golden Star	Golden Wave	Star Sounds	Country	201	2022
Golden Shadow	Golden Wave	Shadow Sounds	Hip Hop	274	1990
Eternal Star	Windy Star	Echo Voices	Pop	318	2009
Broken Whisper	Silent Moon	Wave Colors	Jazz	295	2009
Silent Moon	Broken Whisper	Whisper Nights	Electronic	218	2004
Falling Flame	Golden Flame	Moon Colors	Jazz	141	1996
Lonely Shadow	Falling Wave	Moon Voices	Electronic	268	1980
Silent Shadow	Mystic Wave	Flame Colors	Country	290	2016
Happy Echo	Golden Wave	Heart Sounds	Rock	242	2014
Windy Dream	Happy Sky	Heart Days	Classical	305	1993
Happy Star	Golden Whisper	Echo Sounds	Rock	265	1981
Falling Whisper	Happy Sky	Echo Colors	Hip Hop	221	1982
Golden Sky	Falling Flame	Heart Colors	Jazz	337	1982
Falling Shadow	Falling Wave	Echo Lights	Pop	333	1999
Mystic Star	Silent Dream	Star Voices	Electronic	303	1992
Mystic Shadow	Mystic Wave	Sky Vibes	Rock	220	2010
Broken Dream	Windy Heart	Shadow Days	Hip Hop	316	2019
Lonely Sky	Windy Heart	Heart Vibes	Jazz	231	2001
Happy Echo	Golden Wave	Star Sounds	Pop	346	1993
Eternal Star	Happy Heart	Moon Sounds	Country	131	2006
Windy Moon	Red Shadow	Wave Colors	Pop	346	1992
Happy Whisper	Happy Heart	Star Colors	Classical	217	1980
Golden Echo	Silent Echo	Shadow Vibes	Country	358	1981
Golden Moon	Lonely Dream	Heart Days	Jazz	267	2016
Eternal Heart	Silent Star	Star Colors	Pop	232	1990
Red Star	Windy Heart	Wave Colors	Hip Hop	131	2022
Falling Moon	Red Echo	Sky Nights	Jazz	345	2012
Mystic Moon	Lonely Wave	Moon Days	Country	145	2008
Golden Echo	Red Sky	Echo Colors	Classical	217	1982
Golden Star	Broken Shadow	Shadow Colors	Hip Hop	215	2008
Silent Shadow	Broken Moon	Heart Sounds	Classical	165	1981
Silent Moon	Red Moon	Wave Voices	Rock	126	1993
Golden Shadow	Eternal Wave	Star Colors	Hip Hop	209	1999
Silent Star	Broken Wave	Flame Nights	Rock	208	1997
Lonely Wave	Golden Wave	Whisper Lights	Hip Hop	357	2016
Happy Wave	Red Whisper	Moon Colors	Country	158	1987
Red Flame	Golden Whisper	Whisper Vibes	Electronic	171	1986
Eternal Whisper	Broken Shadow	Whisper Colors	Electronic	136	1989
Broken Echo	Mystic Moon	Echo Vibes	Rock	271	1995
Happy Sky	Red Whisper	Star Nights	Rock	338	1998
Broken Shadow	Mystic Dream	Echo Colors	Classical	123	2009
Lonely Sky	Silent Moon	Sky Voices	Pop	210	2022
Mystic Flame	Lonely Star	Shadow Colors	Hip Hop	294	1998
Eternal Star	Red Wave	Star Vibes	Hip Hop	242	1982
Mystic Dream	Falling Sky	Dream Days	Hip Hop	277	2009
Happy Sky	Red Whisper	Dream Days	Hip Hop	122	1997
Mystic Heart	Happy Star	Moon Vibes	Pop	253	2015
Windy Heart	Windy Heart	Shadow Days	Classical	241	1999
Mystic Star	Eternal Flame	Whisper Vibes	Rock	319	1996
Windy Flame	Falling Shadow	Shadow Voices	Electronic	135	2003
Silent Sky	Lonely Star	Flame Voices	Pop	198	1992
Mystic Moon	Silent Sky	Flame Colors	Country	283	2015
Eternal Heart	Lonely Echo	Echo Sounds	Pop	300	1982
